alpha,n,algorithm,T_median,T_mean,T_std
0.50,512,Toeplitz,4.99e-05,5.3137e-05,1.57700819864e-05
0.50,512,Circulant,3.4e-05,3.9417e-05,1.13533073097e-05
0.50,512,Hayashi,4.06e-05,4.1306e-05,3.01939254042e-06
0.50,1024,Toeplitz,0.0001168,0.000123606,1.75811930049e-05
0.50,1024,Circulant,6.98e-05,7.0191e-05,1.75194523922e-06
0.50,1024,Hayashi,6.82e-05,6.868e-05,1.74922782387e-06
0.50,2048,Toeplitz,0.0002364,0.000238047,5.05390048388e-06
0.50,2048,Circulant,0.00017605,0.000178094,7.11060979925e-06
0.50,2048,Hayashi,0.0001694,0.000171687,8.25744420802e-06
0.50,4096,Toeplitz,0.00060995,0.0006213,3.04030168625e-05
0.50,4096,Circulant,0.0003264,0.000335088,3.43348345656e-05
0.50,4096,Hayashi,0.0002268,0.000227438,3.9985042658e-06
0.50,8192,Toeplitz,0.00103565,0.001039436,1.35388294557e-05
0.50,8192,Circulant,0.00065175,0.000654972,1.97101628916e-05
0.50,8192,Hayashi,0.00068805,0.000691156,1.54703451738e-05
0.50,16384,Toeplitz,0.00217985,0.002181514,3.95889690278e-05
0.50,16384,Circulant,0.00155245,0.001566528,5.02431785008e-05
0.50,16384,Hayashi,0.00168495,0.001690206,3.3612352888e-05
0.50,32768,Toeplitz,0.00484385,0.004898083,0.000156188747545
0.50,32768,Circulant,0.002772,0.002794552,6.97088729335e-05
0.50,32768,Hayashi,0.00343545,0.003469448,9.72166646977e-05
0.80,512,Toeplitz,4.76e-05,4.8988e-05,6.04530504866e-06
0.80,512,Circulant,3.3e-05,3.3614e-05,1.56457113238e-06
0.80,512,Hayashi,3.99e-05,4.0122e-05,9.61331147814e-07
0.80,1024,Toeplitz,0.0001025,0.000103761,3.21420128477e-06
0.80,1024,Circulant,6.875e-05,6.9185e-05,1.89045315502e-06
0.80,1024,Hayashi,6.88e-05,6.9296e-05,1.75210810976e-06
0.80,2048,Toeplitz,0.00024705,0.000254029,2.51641973302e-05
0.80,2048,Circulant,0.0002099,0.000224547,4.00688383796e-05
0.80,2048,Hayashi,0.00017995,0.000200593,4.25151553608e-05
0.80,4096,Toeplitz,0.00034115,0.000361578,5.64722289486e-05
0.80,4096,Circulant,0.0003274,0.000328852,7.79711783062e-06
0.80,4096,Hayashi,0.0002216,0.000224433,9.6607720272e-06
0.80,8192,Toeplitz,0.00090175,0.000912386,3.81532794306e-05
0.80,8192,Circulant,0.00067285,0.000677139,1.85072188755e-05
0.80,8192,Hayashi,0.0006985,0.000711941,3.2616216748e-05
0.80,16384,Toeplitz,0.00174765,0.001756164,6.7856160287e-05
0.80,16384,Circulant,0.00147685,0.001493021,5.49257134591e-05
0.80,16384,Hayashi,0.00158685,0.001601188,5.15119899351e-05
0.80,32768,Toeplitz,0.00510735,0.005209633,0.000452141877495
0.80,32768,Circulant,0.0027368,0.00275764,0.000131829416867
0.80,32768,Hayashi,0.0033826,0.003408487,0.000107714941476
