alpha,n,algorithm,Tmask_median,Tmask_mean,Tmask_std,Txor_median,Txor_mean,Txor_std,Ttotal_median,Ttotal_mean,Ttotal_std
0.50,512,Toeplitz,4.87e-05,5.1786e-05,1.54854119686e-05,1.69e-05,2.0495e-05,2.00531383725e-05,6.55e-05,7.2281e-05,3.49827798764e-05
0.50,512,Circulant,2.87e-05,2.9032e-05,2.40230865392e-06,1.69e-05,1.7265e-05,2.02536316733e-06,4.56e-05,4.6297e-05,3.62152529393e-06
0.50,512,Hayashi,3.6e-05,3.6418e-05,2.29273688509e-06,1.67e-05,1.7164e-05,2.08542416294e-06,5.27e-05,5.3582e-05,3.58392539154e-06
0.50,1024,Toeplitz,0.0001196,0.000121163,6.24976209648e-06,3.04e-05,3.1106e-05,3.09064473023e-06,0.00014995,0.000152269,8.82095410447e-06
0.50,1024,Circulant,6.36e-05,6.4318e-05,2.76841419801e-06,3.03e-05,3.0895e-05,2.55201940242e-06,9.39e-05,9.5213e-05,4.66120145348e-06
0.50,1024,Hayashi,5.98e-05,5.9946e-05,2.26681906796e-06,3.01e-05,3.0478e-05,2.1060077604e-06,9.01e-05,9.0424e-05,3.59295382265e-06
0.50,2048,Toeplitz,0.0002175,0.000229419,3.34271367864e-05,5.29e-05,5.7433e-05,1.20305172143e-05,0.00027235,0.000286852,4.31207149357e-05
0.50,2048,Circulant,0.0001463,0.00014934,7.80753326971e-06,4.88e-05,5.0678e-05,6.08768553323e-06,0.00019565,0.000200018,1.29664943511e-05
0.50,2048,Hayashi,0.0001389,0.000144596,1.34508076435e-05,5.045e-05,5.3795e-05,7.96268285076e-06,0.0001897,0.000198391,2.04572631393e-05
0.50,4096,Toeplitz,0.00056005,0.000567531,2.15871206224e-05,9.935e-05,0.000104298,1.20391447396e-05,0.0006617,0.000671829,2.97561411877e-05
0.50,4096,Circulant,0.00027575,0.000309376,0.000101994889078,9.82e-05,0.000114843,4.51982261541e-05,0.00037425,0.000424219,0.000145485517829
0.50,4096,Hayashi,0.0001565,0.00015776,5.07483392772e-06,9.785e-05,9.8685e-05,3.67729520164e-06,0.00025455,0.000256445,7.24708753761e-06
0.50,8192,Toeplitz,0.00090685,0.000907619,2.38494719464e-05,0.00018675,0.000187054,6.23145199287e-06,0.0010954,0.001094673,2.82951502251e-05
0.50,8192,Circulant,0.00052055,0.000525135,1.34060771309e-05,0.0001822,0.000186856,1.43541872257e-05,0.00070315,0.000711991,2.25812163606e-05
0.50,8192,Hayashi,0.00054185,0.000559687,4.8249885445e-05,0.0001833,0.000194931,3.13554489811e-05,0.0007258,0.000754618,7.70398537555e-05
0.50,16384,Toeplitz,0.00185555,0.001864444,4.11322388735e-05,0.0003668,0.000370318,1.73099573143e-05,0.00222345,0.002234762,4.9403837376e-05
0.50,16384,Circulant,0.0012547,0.001264489,4.02017636052e-05,0.00037735,0.000382142,2.45317571134e-05,0.00163725,0.001646631,5.81757485226e-05
0.50,16384,Hayashi,0.00135725,0.00137443,4.78234072691e-05,0.00035935,0.00036707,2.42118699498e-05,0.00171795,0.0017415,6.29770216232e-05
0.50,32768,Toeplitz,0.004192,0.004236775,0.000141483122722,0.00074495,0.000754627,4.49821061056e-05,0.004939,0.004991402,0.000170628415446
0.50,32768,Circulant,0.00215865,0.002178421,5.98361505119e-05,0.00071835,0.000734414,4.42535669281e-05,0.0028735,0.002912835,8.96353052906e-05
0.50,32768,Hayashi,0.00284315,0.002871028,8.64614961656e-05,0.00072985,0.000742332,3.77440928016e-05,0.00357005,0.00361336,0.00011376281635
0.80,512,Toeplitz,2.695e-05,2.7102e-05,7.48733610974e-07,1.35e-05,1.3577e-05,5.57747091594e-07,4.05e-05,4.0679e-05,1.04139523736e-06
0.80,512,Circulant,2.26e-05,2.3636e-05,2.89933883093e-06,1.38e-05,1.434e-05,1.45192314124e-06,3.66e-05,3.7976e-05,3.74818797972e-06
0.80,512,Hayashi,2.825e-05,2.8582e-05,1.01646843572e-06,1.35e-05,1.3783e-05,8.04916081955e-07,4.17e-05,4.2365e-05,1.57565923353e-06
0.80,1024,Toeplitz,5.43e-05,5.5073e-05,2.3343225176e-06,2.43e-05,2.4636e-05,1.29774629822e-06,7.85e-05,7.9709e-05,3.49938219656e-06
0.80,1024,Circulant,5.02e-05,5.1946e-05,3.90925914602e-06,2.5e-05,2.6368e-05,3.17753732226e-06,7.56e-05,7.8314e-05,6.54189327922e-06
0.80,1024,Hayashi,4.71e-05,4.7547e-05,2.76366960706e-06,2.43e-05,2.4483e-05,1.53656148986e-06,7.13e-05,7.203e-05,3.75990274966e-06
0.80,2048,Toeplitz,8.09e-05,8.3187e-05,7.4430586604e-06,4.755e-05,4.8827e-05,4.57963994438e-06,0.0001285,0.000132014,1.03197077321e-05
0.80,2048,Circulant,0.0001434,0.00016111,3.32039534582e-05,4.94e-05,5.8263e-05,1.61306825709e-05,0.0001928,0.000219373,4.80690178364e-05
0.80,2048,Hayashi,0.00013695,0.000151698,2.9501874551e-05,5.05e-05,5.76e-05,1.42123434757e-05,0.0001899,0.000209298,4.27449447185e-05
0.80,4096,Toeplitz,0.00035055,0.000353533,1.28791355425e-05,0.0001016,0.000103967,1.03516460898e-05,0.0004524,0.0004575,2.24314218646e-05
0.80,4096,Circulant,0.00025165,0.000251811,2.63561063785e-06,9.655e-05,9.7205e-05,4.40764659255e-06,0.00034845,0.000349016,5.59692772867e-06
0.80,4096,Hayashi,0.00013625,0.000137255,3.43047468518e-06,9.5e-05,9.5719e-05,2.76744038104e-06,0.00023135,0.000232974,5.15978270625e-06
0.80,8192,Toeplitz,0.0004479,0.000454754,2.75897778611e-05,0.00019035,0.0001939,1.13486705491e-05,0.0006374,0.000648654,3.45291925094e-05
0.80,8192,Circulant,0.0004838,0.000485753,7.34663332501e-06,0.0001834,0.000184889,5.03492639851e-06,0.00066845,0.000670642,1.02407403852e-05
0.80,8192,Hayashi,0.00049685,0.00050357,1.87261039647e-05,0.00018205,0.000186717,1.76313257435e-05,0.0006797,0.000690287,3.21095934404e-05
0.80,16384,Toeplitz,0.00090225,0.000910788,3.15960945036e-05,0.0003616,0.000369533,3.07232155008e-05,0.0012649,0.001280321,5.70053165959e-05
0.80,16384,Circulant,0.00116805,0.001175108,2.25764187335e-05,0.0003616,0.000366895,2.02768982098e-05,0.0015291,0.001542003,3.64552152398e-05
0.80,16384,Hayashi,0.00126645,0.001279934,4.04667870299e-05,0.00036085,0.000366122,1.83710937853e-05,0.0016292,0.001646056,5.01283772534e-05
0.80,32768,Toeplitz,0.00241755,0.002442899,0.00010711307015,0.0007348,0.000757799,7.98387408746e-05,0.00315615,0.003200698,0.00016520729799
0.80,32768,Circulant,0.0020076,0.002022077,4.07224650853e-05,0.00072585,0.000738175,4.93894242452e-05,0.00273735,0.002760252,7.91983400499e-05
0.80,32768,Hayashi,0.00264755,0.002685206,0.000116096561882,0.00074215,0.000752716,5.72095928948e-05,0.00339745,0.003437922,0.000139234964972
